zcta,cbsa_name,county_name,state_name,Apply Poverty ,Concentrated wealth per square mile,population_per_square_mile,income_per_capita,Median age - V1 x income per capita x V2 (income per capita*(median age-V1)*V2),Home equity per capita (housing units*%owner-occupied*median value)*V3,poverty_rate,pop_total,pop_total,area_land_sq_miles,median_age,median_age_male,median_age_female,pop_total_18_64,pop_pct_18_64,race_pct_nh_white,race_pct_nh_black,race_pct_nh_amerind_alaskan,race_pct_nh_asian,race_pct_nh_nhpi,race_pct_nh_other,race_pct_nh_two_plus,race_pct_hispanic,income_per_capita,income_median_hh,mean_travel_time_to_work,housing_units,hu_pct_occupied,occupied_hu_pct_owner_occupied,ZILLOW Typical Home Values,educ_pct_hs_grad,educ_pct_bachelors,educ_pct_postgrad,veteran_pct
10279,New York-Newark-Jersey City,New York County,New York,68101326963,68101326963,38592,757353,1764632.49,0,0,161,161,0.004171811,48.3,48.9,32.8,161,1,1,0,0,0,0,0,0,0,757353,250001,,150,0.5,0,0,0,0.29192546,0.2795031,0
10069,New York-Newark-Jersey City,New York County,New York,30084225817,57530450362,152649,148668,223002,153879.5456,0.2385365,6259,6259,0.041002662,40,38.7,40.2,4115,0.657453267,0.433455824,0.016616073,0,0.331522607,0,0.118069979,0.012302285,0.088033232,148668,197680,30.8,3851,0.815892,0.32590705,1881117.37,0.10143071,0.37411916,0.49391416,0.014252286
10075,New York-Newark-Jersey City,New York County,New York,42893338173,54970422439,126787,153302,305070.98,128494.7413,0.10985075,23920,23920,0.188663132,44.9,46.2,44.3,14020,0.586120401,0.785869565,0.022491639,0.003553512,0.072867893,0.003093645,0,0.035158863,0.076964883,153302,140736,28.5,15702,0.81766653,0.45315057,1056581.01,0.08685433,0.3338497,0.47839326,0.024908388
10028,New York-Newark-Jersey City,New York County,New York,48019265586,53407072537,144897,145640,241762.4,126824.2853,0.05044095,45717,45717,0.31551397,41.6,43.1,40.4,29515,0.645602292,0.795568388,0.015158475,0,0.08521994,0,0.003434171,0.026860905,0.073758121,145640,160244,31,29517,0.82799745,0.35650572,1330890.81,0.061680455,0.3452669,0.47296327,0.028147208
10021,New York-Newark-Jersey City,New York County,New York,39728911374,43351634968,113496,132889,239200.2,142765.1738,0.04178301,40642,40642,0.358091148,43,43.7,41.6,24755,0.609098962,0.81194331,0.00415826,0.000393681,0.097411545,0.002731165,0.0029034,0.023350229,0.05710841,132889,149432,29,29104,0.706707,0.44627577,1264247.09,0.06663599,0.3805185,0.4126093,0.03523431
10022,New York-Newark-Jersey City,New York County,New York,34383039065,38786571017,75557,158606,374310.16,139031.494,0.056766193,33586,33586,0.444511911,48.6,49,48.3,20022,0.596141249,0.739712976,0.013457988,0.00041684,0.11748943,0,0.001875782,0.023700351,0.103346633,158606,161236,26.6,25127,0.72244996,0.48834902,1053471.37,0.06600649,0.36155376,0.47313365,0.03382382
10128,New York-Newark-Jersey City,New York County,New York,29591677545,36532335389,125001,118895,205688.35,86568.69739,0.09499335,56695,56695,0.453557462,42.3,42,42.6,36768,0.648522797,0.677114384,0.051697681,0.00029985,0.089849193,0.000264574,0.010212541,0.028838522,0.141723256,118895,137253,32.7,35464,0.82697946,0.30973813,1080583.98,0.084225565,0.34061778,0.42772344,0.022239905
10162,New York-Newark-Jersey City,New York County,New York,31433792067,36295424851,119006,73847,304988.11,0,0.06697308,1523,1523,0.012797671,66.3,66.2,67.1,420,0.275771504,0.862770847,0.005909389,0,0.028890348,0,0,0.003282994,0.099146422,73847,105391,27.2,1048,0.8549618,0,0,0.2636081,0.35303265,0.30870917,0
10011,New York-Newark-Jersey City,New York County,New York,24903296129,30716513680,78416,139232,243656,148056.622,0.09462691,50772,50772,0.647470395,42.5,42.8,42.1,36944,0.727645159,0.681221933,0.043173403,0,0.088414874,0,0.005120933,0.042976444,0.139092413,139232,145934,23.9,35017,0.8245709,0.3656577,1423968.69,0.063943245,0.39208683,0.39651477,0.017743235
98164,Seattle-Tacoma-Bellevue,King County,Washington,26189628690,30533274629,67541,204060,279562.2,172509.9509,0.07112971,239,239,0.003538607,38.7,43,38.6,187,0.782426778,0.707112971,0,0,0,0,0,0,0.292887029,204060,250001,11.3,154,1,0.76623374,698811.52,0,0.43654823,0.5076142,0.0456621
10280,New York-Newark-Jersey City,New York County,New York,26413630419,29084265145,82824,145055,294461.65,56697.23912,0.04591202,8843,8843,0.106769005,45.3,37.5,47.8,6545,0.740133439,0.610991745,0.016962569,0,0.232274115,0,0,0.016510234,0.123261337,145055,206150,27.5,4819,0.8908487,0.31330073,745537.08,0.050819445,0.41261533,0.45007575,0.004095738
10282,New York-Newark-Jersey City,New York County,New York,25107971759,28391728403,93932,190521,261013.77,41244.6881,0.05782946,6450,6450,0.068666727,38.7,38.4,39.3,4048,0.627596899,0.714263566,0.02124031,0,0.137209302,0,0,0.084186047,0.043100775,190521,250001,29.8,2880,0.9149306,0.0910816,2216901.73,0.057142857,0.31316963,0.48794642,0.015351351
10024,New York-Newark-Jersey City,New York County,New York,22516845926,27026748666,70918,137778,249378.18,131721.584,0.08343406,62774,62774,0.88516591,43.1,43,43.3,38345,0.610842068,0.749960175,0.025472329,0.000589416,0.064501227,0,0.004253353,0.03531717,0.119906331,137778,166994,31.1,36324,0.8113644,0.3832112,1464262.48,0.051519897,0.362627,0.46536562,0.023033371
10023,New York-Newark-Jersey City,New York County,New York,22978204420,26755604549,67789,141597,254874.6,139816.6367,0.07059082,65706,65706,0.969276637,43,43.5,42.7,42674,0.649468846,0.676376587,0.049006179,0.000121754,0.13968283,0,0.009740359,0.028323136,0.096749155,141597,151468,28.2,45408,0.78713,0.381456,1347629.74,0.061063915,0.37427068,0.45766577,0.017573385
10013,New York-Newark-Jersey City,New York County,New York,19453671615,24355468013,54105,157378,239214.56,210938.587,0.100630306,29453,29453,0.544368954,40.2,39.6,40.4,20253,0.687637932,0.537534377,0.027874919,0.001765525,0.296981632,0,0.006349099,0.046412929,0.08308152,157378,150675,26.2,15523,0.82155514,0.29475418,3305546.1,0.089696035,0.43215126,0.27315903,0.008811443
10065,New York-Newark-Jersey City,New York County,New York,19721108218,22919125934,73934,139648,181542.4,128450.4963,0.069767445,30859,30859,0.417383753,38,37.1,39.3,19134,0.620046016,0.723970317,0.024660553,0,0.136945462,0,0.002657247,0.026540069,0.085226352,139648,158276,25.6,22221,0.7251249,0.32495502,1514077,0.04961927,0.40543783,0.45137393,0.04027524
10014,New York-Newark-Jersey City,New York County,New York,19014622093,21703724298,60759,151521,224251.08,132959.5312,0.061950248,29461,29461,0.484883685,39.8,40.4,38.4,22212,0.753945895,0.77631445,0.022063066,0.000882523,0.055904416,0,0.00288517,0.030922236,0.111028139,151521,147267,26.2,21554,0.8120998,0.28416362,1575038.58,0.05018216,0.47992322,0.36792415,0.024259748
10025,New York-Newark-Jersey City,New York County,New York,14807503089,20871070988,109116,83211,123152.28,68122.16186,0.1452625,96988,96988,0.888853551,39.8,39.5,40.2,62427,0.643656947,0.533169052,0.093021817,0.000732049,0.098362684,0,0.003928321,0.034983709,0.235802367,83211,106916,33.4,47715,0.872954,0.31486326,1007553.57,0.10064721,0.28773585,0.38544866,0.02029038
10010,New York-Newark-Jersey City,New York County,New York,17142135681,20521489860,87931,132405,142997.4,90385.39176,0.08233696,32410,32410,0.368586118,35.8,35.7,35.9,22431,0.692101203,0.61425486,0.084665227,0.002314101,0.156340636,0,0.005862388,0.038259796,0.098302993,132405,150288,28.9,18966,0.8462512,0.2883489,1265942.35,0.059948925,0.42500106,0.37924394,0.02241367
10019,New York-Newark-Jersey City,New York County,New York,14451003248,18872205861,64907,126894,208106.16,82651.48716,0.11713529,42766,42766,0.658881194,41.4,41.2,41.7,31320,0.73235748,0.555558154,0.045386522,0,0.188373942,0.00168358,0.002665669,0.037225834,0.169106299,126894,113335,27.9,32995,0.7969996,0.23014031,1168100.93,0.08475294,0.41900328,0.34890488,0.036225
10007,New York-Newark-Jersey City,New York County,New York,17770688181,18576879653,46943,191709,185957.73,209772.8876,0.021698786,7506,7506,0.159895207,34.7,36.4,33.1,5331,0.710231815,0.62057021,0.0836664,0,0.158273381,0,0,0.008792966,0.128697042,191709,250001,24.9,3702,0.8330632,0.3414397,2990608.28,0.05145736,0.5129543,0.34041023,0.008037508
10003,New York-Newark-Jersey City,New York County,New York,13797384399,18220848489,94238,119200,85824,107524.2663,0.12138469,53877,53877,0.571709081,32.2,33.3,30.5,41883,0.777381814,0.632904579,0.053807747,0.000946601,0.167307014,0.000501141,0.003322382,0.038365165,0.10284537,119200,152863,23.9,30766,0.81216276,0.35726577,1297879.5,0.05348718,0.43849245,0.38109615,0.014958505
10016,New York-Newark-Jersey City,New York County,New York,13801206662,17011162084,98992,126106,104667.98,67175.18847,0.094348505,54369,54369,0.549224161,33.3,33,33.5,42642,0.784307234,0.581563023,0.045834943,0.000202321,0.19183726,0,0.002372676,0.053376005,0.124813773,126106,145864,25.2,36447,0.8275578,0.27266097,888192.57,0.05308046,0.41613793,0.4027816,0.019874772
10012,New York-Newark-Jersey City,New York County,New York,12274346710,16257380992,65492,114455,112165.9,136069.8733,0.12249926,21216,21216,0.323949483,34.8,35.6,34.4,16380,0.772058824,0.670531674,0.02535822,0,0.174113876,0,0.002073906,0.025122549,0.102799774,114455,126890,22.9,14271,0.8078621,0.2042675,2451684.43,0.050449163,0.49330714,0.3357725,0.009761058
11005,New York-Newark-Jersey City,Queens County,New York,12533594129,14370357133,11856,209343,1212095.97,0,0.06390805,2175,2175,0.183454643,82.9,81.3,85.1,195,0.089655172,0.95816092,0,0,0.030344828,0,0,0,0.011494253,209343,81328,30.5,2052,0.75779724,0.93954986,0,0.11724138,0.27172413,0.3921839,0.06850575
